Area Code,Year,Item Code,Production,Import Quantity,Stock Variation,Domestic supply quantity,Processing,Residuals,Food,Food supply quantity (kg/capita/yr),Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day),Export Quantity,Losses,Feed,Seed,Other uses (non-food),Tourist consumption
3,2018,2561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2563,118.0,3.0,0.0,117.0,79.0,0.0,36.0,12.64,38.0,0.38,3.84,3.0,2.0,0.0,0.0,0.0,0.0
3,2018,2570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2571,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.18,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2573,0.0,32.0,0.0,32.0,0.0,0.0,18.0,6.4,155.0,0.0,17.52,0.0,0.0,0.0,0.0,14.0,0.0
3,2018,2574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2577,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2580,11.0,0.0,0.0,11.0,0.0,0.0,10.0,3.59,87.0,0.0,9.85,0.0,0.0,0.0,0.0,1.0,0.0
3,2018,2582,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.34,8.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2586,2.0,2.0,-1.0,5.0,0.0,0.0,3.0,1.09,22.0,0.02,2.42,0.0,0.0,0.0,0.0,2.0,0.0
3,2018,2601,289.0,8.0,0.0,227.0,0.0,0.0,199.0,68.89,34.0,1.6,0.4,70.0,28.0,0.0,0.0,0.0,0.0
3,2018,2602,100.0,3.0,0.0,102.0,0.0,0.0,92.0,31.92,27.0,0.96,0.17,1.0,10.0,0.0,0.0,0.0,0.0
3,2018,2605,765.0,5.0,0.0,714.0,0.0,0.0,567.0,196.81,123.0,5.16,0.95,55.0,74.0,72.0,0.0,0.0,0.0
3,2018,2611,42.0,19.0,0.0,54.0,0.0,0.0,50.0,17.26,16.0,0.29,0.05,6.0,4.0,0.0,0.0,0.0,0.0
3,2018,2612,4.0,4.0,0.0,8.0,0.0,0.0,7.0,2.56,1.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2615,0.0,21.0,0.0,21.0,2.0,0.0,19.0,6.44,11.0,0.12,0.05,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2617,108.0,6.0,0.0,110.0,0.0,0.0,99.0,34.5,46.0,0.28,0.38,5.0,11.0,0.0,0.0,0.0,0.0
3,2018,2618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2619,13.0,0.0,0.0,13.0,0.0,0.0,12.0,4.21,18.0,0.17,0.05,0.0,1.0,0.0,0.0,0.0,0.0
3,2018,2620,185.0,5.0,0.0,190.0,23.0,0.0,165.0,57.25,102.0,1.1,0.47,0.0,2.0,0.0,0.0,0.0,0.0
3,2018,2625,155.0,13.0,0.0,167.0,0.0,0.0,152.0,52.59,79.0,1.15,0.54,1.0,15.0,0.0,0.0,0.0,0.0
3,2018,2630,0.0,8.0,0.0,8.0,0.0,0.0,8.0,2.65,3.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.16,1.3,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.0,0.04,0.06,0.0,0.0,0.0,0.0,0.0,0.0
