Code Domaine,Domaine,Code zone,Zone,Code année,Année,Code Produit,Produit,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole,Note
"CP","Indices de Prix à la Consommation","9","Argentine","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","","151.193596","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","9","Argentine","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","","152.94351","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","9","Argentine","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","","157.940576","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","9","Argentine","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","","166.118886","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","9","Argentine","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","","172.749237","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","9","Argentine","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","","179.680517","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","9","Argentine","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","","192.292988","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","9","Argentine","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","","203.602409","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","9","Argentine","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","","210.542281","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","9","Argentine","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","","214.118137","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","1","Arménie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","","109.531719","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","1","Arménie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","","108.191575","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","1","Arménie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","","108.11224","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","1","Arménie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","","106.838566","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","1","Arménie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","","103.875067","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","1","Arménie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","","99.841515","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","1","Arménie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","","96.988314","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","1","Arménie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","","98.59111","X","Sources internationales sûres","base year is 2015"
